player,aces,bk_pts,bp_saved,crosscourt,deep,dfs,down_middle,down_the_line,err_deep,err_net,err_wide,err_wide_deep,first_aces,first_forced,first_in,first_pts,first_pts_won,first_unret,first_won,first_won_lte_3_shots,forced_err,in_play,in_play_won,induced_forced,inside_in,inside_out,net_pts,net_unforced,net_winner,passed_at_net,passing_shot_induced_forced,pt_ending,pts,pts_won,pts_won_lte_3_shots,return_forced,return_pts,return_pts_won,returnable,returnable_won,second_aces,second_forced,second_in,second_pts,second_pts_won,second_unret,second_won,second_won_lte_3_shots,serve_pts,serve_return,shallow,shots,shots_in_pts_lost,shots_in_pts_won,snv_pts,total_shots,unforced,unforced_bh,unforced_fh,unret,very_deep,winners,winners_bh,winners_fh
Jiri_Hrebec,28.0,34.0,16.0,332.0,343.0,15.0,190.0,72.0,7.0,7.0,14.0,0.0,12.0,42.0,365.0,219.0,135.0,0.0,90.0,72.0,45.0,862.0,463.0,283.0,4.0,96.0,302.0,56.0,98.0,70.0,24.0,668.0,1421.0,1011.0,93.0,30.0,264.0,118.0,1667.0,463.0,0.0,3.0,118.0,177.0,84.0,0.0,56.0,21.0,264.0,644.0,392.0,3404.0,1653.0,1751.0,258.0,8278.0,364.0,36.0,42.0,0.0,154.0,314.0,40.0,36.0
Bjorn_Borg,675.0,367.0,224.0,5118.0,5920.0,386.0,2475.0,1547.0,287.0,511.0,231.0,7.0,282.0,822.0,6462.0,3919.0,2691.0,0.0,1750.0,1581.0,897.0,12420.0,6068.0,2777.0,162.0,1022.0,4254.0,842.0,1554.0,790.0,346.0,10409.0,22745.0,15324.0,2133.0,568.0,4216.0,1596.0,25493.0,6068.0,9.0,75.0,1673.0,2637.0,1359.0,0.0,870.0,552.0,4216.0,10230.0,4053.0,49294.0,24613.0,24681.0,3974.0,110513.0,7091.0,757.0,614.0,0.0,959.0,6003.0,552.0,720.0
Ivan_Lendl,4294.0,1756.0,1054.0,23332.0,31707.0,1693.0,12876.0,6930.0,887.0,1120.0,742.0,105.0,1794.0,4570.0,29534.0,17718.0,12490.0,96.0,8328.0,7798.0,5245.0,55548.0,27361.0,15134.0,826.0,6398.0,17112.0,2408.0,6270.0,3392.0,1244.0,45210.0,104387.0,69310.0,10459.0,3324.0,20046.0,7426.0,109311.0,27361.0,90.0,675.0,8230.0,12333.0,6438.0,0.0,4292.0,2661.0,20046.0,43556.0,16452.0,243240.0,119920.0,123320.0,17976.0,525979.0,25959.0,2818.0,2420.0,132.0,4948.0,26728.0,2500.0,3186.0
Kevin_Curren,329.0,102.0,78.0,172.0,1158.0,105.0,140.0,124.0,70.0,49.0,14.0,0.0,141.0,300.0,1610.0,966.0,750.0,0.0,500.0,519.0,360.0,2818.0,1436.0,922.0,0.0,110.0,1112.0,126.0,342.0,208.0,126.0,2172.0,5724.0,3978.0,657.0,240.0,1118.0,400.0,5542.0,1436.0,0.0,60.0,474.0,711.0,327.0,0.0,218.0,138.0,1118.0,2223.0,1300.0,6123.0,2829.0,3294.0,1076.0,17937.0,884.0,92.0,84.0,0.0,56.0,1514.0,128.0,194.0
Stefan_Edberg,5017.0,2496.0,1514.0,16768.0,39661.0,2827.0,8244.0,6522.0,1456.0,2128.0,1006.0,224.0,2052.0,6849.0,43067.0,25855.0,18024.0,36.0,11992.0,11337.0,7500.0,76893.0,38226.0,21730.0,572.0,4022.0,27012.0,4036.0,9792.0,4948.0,2126.0,61685.0,145565.0,98642.0,15267.0,4906.0,28018.0,10588.0,153336.0,38226.0,99.0,651.0,10806.0,16225.0,8178.0,0.0,5438.0,3930.0,28018.0,61283.0,27113.0,226446.0,109822.0,116624.0,26030.0,564545.0,32955.0,3696.0,2741.0,60.0,4589.0,40781.0,3964.0,4694.0
Pete_Sampras,4460.0,672.0,440.0,4970.0,12090.0,1338.0,1898.0,1998.0,525.0,651.0,329.0,56.0,1833.0,2724.0,15375.0,9225.0,7143.0,84.0,4762.0,5319.0,3435.0,24663.0,11796.0,7105.0,362.0,2138.0,8424.0,1056.0,2762.0,1376.0,510.0,20088.0,54065.0,35656.0,7263.0,2240.0,10766.0,3458.0,49300.0,11796.0,87.0,711.0,4616.0,6922.0,3819.0,18.0,2546.0,1944.0,10766.0,19587.0,8800.0,70338.0,34255.0,36083.0,9682.0,176070.0,11164.0,1236.0,916.0,170.0,1947.0,13832.0,1252.0,1444.0
Boris_Becker,4778.0,1254.0,806.0,8590.0,19431.0,1715.0,3880.0,3508.0,805.0,1103.0,649.0,119.0,1993.0,3597.0,22254.0,13342.0,9905.0,0.0,6614.0,6854.0,4215.0,38096.0,19073.0,10758.0,276.0,2342.0,12236.0,1578.0,4586.0,2192.0,1000.0,31028.0,77033.0,50991.0,9069.0,2680.0,15110.0,5408.0,76509.0,19073.0,75.0,618.0,6198.0,9295.0,4630.0,0.0,3088.0,2215.0,15110.0,30620.0,13351.0,114284.0,55305.0,58979.0,13602.0,278651.0,16606.0,1836.0,1326.0,0.0,2519.0,21402.0,1914.0,2422.0
Andre_Agassi,8362.0,2446.0,1528.0,33393.0,48331.0,2711.0,11648.0,9442.0,1561.0,1639.0,952.0,182.0,3698.0,5693.0,42744.0,25628.0,18278.0,228.0,12204.0,11647.0,6673.0,76137.0,37553.0,19624.0,1375.0,6481.0,13798.0,2058.0,5654.0,2508.0,1002.0,64558.0,145936.0,85044.0,15678.0,2864.0,28292.0,10284.0,150270.0,37553.0,210.0,980.0,11176.0,16734.0,8690.0,15.0,5804.0,4031.0,28292.0,59418.0,15898.0,291024.0,143376.0,147648.0,16832.0,560787.0,39521.0,4364.0,3516.0,337.0,11373.0,35081.0,2760.0,4272.0
Goran_Ivanisevic,3714.0,346.0,214.0,2386.0,7278.0,855.0,1910.0,886.0,273.0,651.0,210.0,28.0,1506.0,1924.0,10360.0,6212.0,4997.0,0.0,3338.0,3949.0,2326.0,15349.0,7349.0,4079.0,88.0,824.0,5568.0,774.0,1932.0,782.0,388.0,12474.0,35425.0,23392.0,5221.0,1488.0,7120.0,2168.0,31033.0,7349.0,90.0,402.0,2972.0,4458.0,2421.0,0.0,1614.0,1272.0,7120.0,12455.0,6057.0,41857.0,20532.0,21325.0,6372.0,108662.0,7349.0,752.0,656.0,0.0,574.0,8633.0,744.0,950.0
Michael_Chang,168.0,52.0,32.0,494.0,1057.0,70.0,186.0,150.0,56.0,42.0,21.0,7.0,84.0,159.0,1015.0,609.0,456.0,9.0,304.0,294.0,180.0,1731.0,779.0,466.0,32.0,154.0,524.0,76.0,162.0,80.0,14.0,1452.0,3455.0,2049.0,384.0,82.0,670.0,218.0,3467.0,779.0,0.0,21.0,264.0,396.0,222.0,0.0,148.0,90.0,670.0,1380.0,448.0,5528.0,2725.0,2803.0,338.0,11829.0,836.0,68.0,90.0,13.0,266.0,953.0,76.0,114.0
