,player_id,player_slug,first_name,last_name,player_url,flag_code,residence,birthplace,birthdate,birth_year,birth_month,birth_day,turned_pro,weight_lbs,weight_kg,height_ft,height_inches,height_cm,handedness,backhand
0,a002,ricardo-acuna,Ricardo,Acuna,http://www.atpworldtour.com/en/players/ricardo-acuna/a002/overview,CHI,"Jupiter, FL, USA","Santiago, Chile",1958.01.13,1958.0,1.0,13.0,0.0,150.0,68.0,"5'9""",69.0,175.0,Right-Handed,
1,a001,sadiq-abdullahi,Sadiq,Abdullahi,http://www.atpworldtour.com/en/players/sadiq-abdullahi/a001/overview,NGR,,,1960.02.02,1960.0,2.0,2.0,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
2,a005,nelson-aerts,Nelson,Aerts,http://www.atpworldtour.com/en/players/nelson-aerts/a005/overview,BRA,,"Cachoeira Do Sul, Brazil",1963.04.25,1963.0,4.0,25.0,0.0,165.0,75.0,"6'2""",74.0,188.0,Right-Handed,
3,a004,egan-adams,Egan,Adams,http://www.atpworldtour.com/en/players/egan-adams/a004/overview,USA,"Palmetto, FL, USA","Miami Beach, FL, USA",1959.06.15,1959.0,6.0,15.0,0.0,160.0,73.0,"5'10""",70.0,178.0,Right-Handed,
4,a006,ronald-agenor,Ronald,Agenor,http://www.atpworldtour.com/en/players/ronald-agenor/a006/overview,USA,"Beverly Hills, California, USA","Rabat, Morocco",1964.11.13,1964.0,11.0,13.0,1983.0,180.0,82.0,"5'11""",71.0,180.0,Right-Handed,
5,a007,juan-aguilera,Juan,Aguilera,http://www.atpworldtour.com/en/players/juan-aguilera/a007/overview,ESP,,"Barcelona, Spain",1962.03.22,1962.0,3.0,22.0,0.0,150.0,68.0,"6'0""",72.0,183.0,Right-Handed,
6,a012,marc-albert,Marc,Albert,http://www.atpworldtour.com/en/players/marc-albert/a012/overview,NED,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
7,a013,marco-alciati,Marco,Alciati,http://www.atpworldtour.com/en/players/marco-alciati/a013/overview,ITA,,,,,,,0.0,0.0,0.0,"0'0""",0.0,,Right-Handed,
8,a009,richard-akel,Richard,Akel,http://www.atpworldtour.com/en/players/richard-akel/a009/overview,USA,,"Little Rock, AR, USA",1962.02.12,1962.0,2.0,12.0,0.0,0.0,0.0,"0'0""",0.0,,Left-Handed,
9,a014,john-alexander,John,Alexander,http://www.atpworldtour.com/en/players/john-alexander/a014/overview,AUS,,"Sydney, NSW, Australia",1951.07.04,1951.0,7.0,4.0,0.0,180.0,82.0,"6'3""",75.0,190.0,Right-Handed,
10,a015,leighton-alfred,Leighton,Alfred,http://www.atpworldtour.com/en/players/leighton-alfred/a015/overview,GBR,,"Wales, Great Britain",1962.08.27,1962.0,8.0,27.0,0.0,160.0,73.0,"5'11""",71.0,180.0,Left-Handed,
11,a017,trevor-allan,Trevor,Allan,http://www.atpworldtour.com/en/players/trevor-allan/a017/overview,AUS,,"Maidland, Australia",1955.08.17,1955.0,8.0,17.0,0.0,170.0,77.0,"5'10""",70.0,178.0,Left-Handed,
